CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 557.554688 1784477446.7587
MEM 557.554688 1784477446.8590
MEM 557.554688 1784477446.9594
MEM 557.554688 1784477447.0599
MEM 557.851562 1784477447.1603
MEM 558.324219 1784477447.2606
MEM 558.699219 1784477447.3609
MEM 559.144531 1784477447.4613
MEM 559.632812 1784477447.5615
MEM 559.953125 1784477447.6618
MEM 560.375000 1784477447.7621
MEM 561.027344 1784477447.8624
MEM 561.613281 1784477447.9627
MEM 561.863281 1784477448.0629
MEM 562.769531 1784477448.1632
MEM 563.207031 1784477448.2635
MEM 563.488281 1784477448.3638
MEM 564.113281 1784477448.4641
MEM 564.269531 1784477448.5644
MEM 564.394531 1784477448.6647
MEM 564.582031 1784477448.7650
MEM 565.832031 1784477448.8653
MEM 567.832031 1784477448.9656
MEM 567.957031 1784477449.0659
MEM 568.710938 1784477449.1662
MEM 568.710938 1784477449.2665
MEM 569.335938 1784477449.3668
MEM 569.492188 1784477449.4671
MEM 570.398438 1784477449.5674
MEM 570.773438 1784477449.6677
MEM 571.062500 1784477449.7681
MEM 571.304688 1784477449.8684
MEM 572.054688 1784477449.9688
MEM 572.558594 1784477450.0690
MEM 572.972656 1784477450.1693
MEM 573.296875 1784477450.2696
MEM 573.710938 1784477450.3699
MEM 574.625000 1784477450.4702
MEM 575.000000 1784477450.5705
MEM 575.375000 1784477450.6708
MEM 575.500000 1784477450.7711
MEM 575.500000 1784477450.8714
MEM 576.125000 1784477450.9717
MEM 576.250000 1784477451.0720
MEM 576.730469 1784477451.1723
MEM 577.277344 1784477451.2726
MEM 577.628906 1784477451.3729
MEM 577.941406 1784477451.4732
MEM 578.535156 1784477451.5735
MEM 578.691406 1784477451.6738
MEM 580.066406 1784477451.7742
MEM 580.191406 1784477451.8746
MEM 580.597656 1784477451.9749
MEM 580.753906 1784477452.0753
MEM 581.128906 1784477452.1757
MEM 581.128906 1784477452.2760
MEM 582.128906 1784477452.3764
MEM 582.628906 1784477452.4768
MEM 582.628906 1784477452.5771
MEM 582.878906 1784477452.6774
MEM 583.503906 1784477452.7779
MEM 583.859375 1784477452.8782
MEM 584.335938 1784477452.9785
MEM 584.781250 1784477453.0788
MEM 585.312500 1784477453.1791
MEM 586.062500 1784477453.2795
MEM 586.687500 1784477453.3798
MEM 586.843750 1784477453.4801
MEM 587.031250 1784477453.5804
MEM 587.312500 1784477453.6808
MEM 587.777344 1784477453.7811
MEM 588.285156 1784477453.8816
MEM 588.628906 1784477453.9820
MEM 589.121094 1784477454.0823
MEM 589.871094 1784477454.1827
MEM 590.496094 1784477454.2830
MEM 590.683594 1784477454.3833
MEM 590.996094 1784477454.4838
MEM 591.496094 1784477454.5842
MEM 591.496094 1784477454.6845
MEM 591.621094 1784477454.7848
MEM 591.871094 1784477454.8852
MEM 592.183594 1784477454.9855
MEM 592.585938 1784477455.0859
MEM 593.273438 1784477455.1862
MEM 593.804688 1784477455.2866
MEM 593.960938 1784477455.3869
MEM 594.179688 1784477455.4872
MEM 594.531250 1784477455.5875
MEM 595.000000 1784477455.6878
MEM 595.335938 1784477455.7881
MEM 595.742188 1784477455.8884
MEM 596.210938 1784477455.9887
MEM 596.835938 1784477456.0890
MEM 597.117188 1784477456.1893
MEM 597.335938 1784477456.2897
MEM 597.910156 1784477456.3900
MEM 598.281250 1784477456.4903
MEM 598.804688 1784477456.5907
MEM 599.304688 1784477456.6910
MEM 599.710938 1784477456.7913
MEM 600.148438 1784477456.8916
MEM 600.523438 1784477456.9920
MEM 600.773438 1784477457.0923
MEM 601.273438 1784477457.1927
