CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 164.484375 1784813021.4103
MEM 164.484375 1784813021.5105
MEM 164.484375 1784813021.6108
MEM 164.484375 1784813021.7138
MEM 164.484375 1784813021.8140
MEM 164.484375 1784813021.9143
MEM 164.484375 1784813022.0146
MEM 164.515625 1784813022.1149
MEM 164.515625 1784813022.2151
MEM 164.523438 1784813022.3154
MEM 166.875000 1784813022.4157
MEM 171.578125 1784813022.5160
MEM 178.128906 1784813022.6163
MEM 183.324219 1784813022.7166
MEM 188.316406 1784813022.8170
MEM 193.453125 1784813022.9172
MEM 200.597656 1784813023.0175
MEM 206.453125 1784813023.1178
MEM 212.453125 1784813023.2181
MEM 218.699219 1784813023.3185
MEM 224.800781 1784813023.4194
MEM 226.699219 1784813023.5198
MEM 232.187500 1784813023.6201
MEM 235.601562 1784813023.7205
MEM 244.289062 1784813023.8209
MEM 253.253906 1784813023.9212
MEM 258.921875 1784813024.0215
MEM 268.554688 1784813024.1218
MEM 273.050781 1784813024.2221
MEM 280.855469 1784813024.3224
MEM 287.691406 1784813024.4227
MEM 295.187500 1784813024.5230
MEM 303.945312 1784813024.6233
MEM 310.351562 1784813024.7236
MEM 316.140625 1784813024.8239
MEM 323.414062 1784813024.9242
MEM 329.003906 1784813025.0245
MEM 335.042969 1784813025.1248
MEM 346.406250 1784813025.2251
MEM 353.523438 1784813025.3254
MEM 359.312500 1784813025.4257
MEM 364.746094 1784813025.5260
MEM 370.195312 1784813025.6263
MEM 378.492188 1784813025.7266
MEM 382.199219 1784813025.8268
MEM 392.207031 1784813025.9271
MEM 403.511719 1784813026.0274
MEM 412.070312 1784813026.1277
MEM 417.234375 1784813026.2280
MEM 425.113281 1784813026.3283
MEM 431.203125 1784813026.4285
MEM 438.207031 1784813026.5288
MEM 446.187500 1784813026.6292
MEM 452.066406 1784813026.7295
MEM 455.789062 1784813026.8298
MEM 461.023438 1784813026.9301
MEM 469.015625 1784813027.0304
MEM 472.792969 1784813027.1306
MEM 482.910156 1784813027.2309
MEM 486.140625 1784813027.3312
MEM 493.894531 1784813027.4315
MEM 497.523438 1784813027.5318
MEM 503.652344 1784813027.6321
MEM 507.882812 1784813027.7324
MEM 511.621094 1784813027.8326
MEM 521.710938 1784813027.9329
MEM 528.578125 1784813028.0333
MEM 532.628906 1784813028.1336
MEM 517.691406 1784813028.2338
MEM 517.691406 1784813028.3342
MEM 517.691406 1784813028.4346
MEM 517.820312 1784813028.5361
MEM 518.113281 1784813028.6418
MEM 518.503906 1784813028.7422
MEM 518.867188 1784813028.8425
MEM 519.292969 1784813028.9428
MEM 519.761719 1784813029.0430
MEM 520.113281 1784813029.1433
MEM 520.410156 1784813029.2436
MEM 520.667969 1784813029.3439
MEM 521.386719 1784813029.4441
MEM 521.800781 1784813029.5444
